<ID|readonly|noverify>;<English>
weapons/cannonMGC30L;20 mm MG C/30L cannon
weapons/cannonType5;30 mm Type 5 cannon
weapons/cannonType5_external;30 mm Type 5 cannon
weapons/gunType97;7.7 mm Type 97 machine gun
weapons/gunType97_turret;7.7 mm Type 97 machine gun
weapons/cannonType99;20 mm Type 99 Model 1 cannon
weapons/cannonType99_turret;20 mm Type 99 Model 1 cannon
weapons/cannonType99Mod2_mark3_turret;20 mm Type 99 Model 2 Mark 3 cannon
weapons/cannonType99Mod2_mark5_turret;20 mm Type 99 Model 2 Mark 5 cannon
weapons/gunMAC34;7.5 mm MAC 1934 machine gun
weapons/gunMAC34_turret;7.5 mm MAC 1934 machine gun
weapons/gunMAC34T_turret;7.5 mm MAC 1934T machine gun
weapons/gunDarne23;7.5 mm Mle 1923 machine gun
weapons/gunDarne23_turret;7.5 mm Mle 1923 machine gun
weapons/cannonHispano_hs9;20 mm Hispano HS.9 cannon
weapons/cannonHispano_hs825;Lazer Beam
weapons/cannonHispano_hs825/short;Lazer Beam
weapons/cannonHo3;20 mm Ho-3 cannon
weapons/cannonT15E1;75 mm M10 cannon
weapons/cannonType97;20 mm Type 97 cannon
weapons/cannonType_23L;23 mm Type 23L cannon
weapons/cannonType_23_1;23 mm Type 23-1 cannon
weapons/cannonType_23_1_plane;23 mm Type 23-1 cannon
weapons/cannonType97_turret;20 mm Ho-1 cannon
weapons/gunBredaSAFAT127;12.7 mm Breda-SAFAT machine gun
weapons/gunBredaSAFAT127_turret;12.7 mm Breda-SAFAT machine gun
weapons/gunBredaSAFAT77;7.7 mm Breda-SAFAT machine gun
weapons/gunBredaSAFAT77_turret;7.7 mm Breda-SAFAT machine gun
weapons/gunScotti127_turret;12.7 mm Scotti machine gun
weapons/gunDarne33;7.5 mm Darne 1933 machine gun
weapons/gunMle38;7.5 mm Fabrique Nationale Mle 38 machine gun
weapons/gunBrowning303;John Browning's finest radiator hole puncher
weapons/gunBrowning303_turret;John Browning's finest radiator hole puncher
weapons/gunBrowning303_raf;John Browning's finest radiator hole puncher
weapons/gunBrowning30_usaaf;7.62 mm Browning machine gun
weapons/gunBrowning30_usaaf_1935;7.62 mm Browning machine gun
weapons/gunBrowning30_turret;7.62 mm Browning machine gun
weapons/gunBrowning50_M3;John Browning's Finest Pilot Sniper
weapons/gunFN_M3P;12.7 mm FN M3P machine gun
weapons/gunfn_60_30;7.62 mm FN 60.30 machine gun
weapons/gunfn_60_30_mgp;7.62 mm FN 60.30 machine gun
weapons/gunFN_M3P_cwp;12.7 mm FN M3P machine gun
weapons/gunFN_M3M;12.7 mm FN M3M machine gun
weapons/gunBrowning50_M3_underwing;John Browning's Finest Firestarter (secondary)
weapons/gunBrowning50_early;John Browning's Finest Firestarter
weapons/gunBrowning50_early_1935;John Browning's Finest Firestarter
weapons/gunBrowning50_M2;John Browning's Finest Firestarter
weapons/gunLKk_42;12.7 mm LKk/42 machine gun
weapons/gunLKk_42/short;LKk/42
weapons/gunBrowning50_M2_late;John Browning's Finest Firestarter
weapons/gunBrowning50_M2_underwing;John Browning's Finest Firestarter (secondary)
weapons/gunBrowning50;John Browning's Finest Firestarter
weapons/gunBrowning50_raf;John Browning's Finest Firestarter
weapons/gunBrowning50_raf_tutorial;John Browning's Finest Firestarter
weapons/gunBrowning50_raf_tutorial/short;John Browning's Finest Firestarter
weapons/gunBrowning50_raf_turret;John Browning's Finest Firestarter
weapons/gunBrowning50_usaaf;John Browning's Finest Firestarter
weapons/gunBrowning50_turret;John Browning's Finest Firestarter
weapons/gunBrowning50_turret_late;John Browning's Finest Firestarter
weapons/gunDA762;7.62 mm DA machine gun
weapons/cannonHispanoMkI;I dislike Hispanics
weapons/cannonHispano404;Error 404: Damage not found
weapons/gunBrowningM36No3;7.7 mm FN-Browning M.36 No.3 machine gun
weapons/gunBrowningM36No3/short;FN-Browning M.36 No.3
weapons/gunBrowningM36No3Holand;7.92 mm FN-Browning M.36 No.3 machine gun
weapons/gunBrowningM36No3Holand/short;FN-Browning M.36 No.3
weapons/gunBrowningM36No4Holand_turret;7.92 mm FN-Browning M.36 No.4 machine gun
weapons/gunBrowningM36No4Holand_turret/short;FN-Browning M.36 No.4
weapons/cannonOerliconFF;20 mm Oerlikon FF cannon
weapons/cannonOerliconFF/short;Oerlikon FF
weapons/cannonHispano404_turret;Error 404: Damage not found
weapons/cannonHispanoMkII; I hate Hispanics
weapons/cannonHispanoMkII_tutorial;2 I hate Hispanics
weapons/cannonHispanoMkII_tutorial/short; I hate Hispanics
weapons/cannonHispanoMkV;I FUCKING ABHOR HISPANICS
weapons/cannonHispanoMkV_turret;I FUCKING ABHOR HISPANICS
weapons/cannonSAA;102 mm 102/35 mod 14 cannon
weapons/cannonVickers_S;40 mm Vickers S cannon
weapons/cannonVickers_S_underwing;40 mm Vickers S cannon (secondary)
weapons/cannonVickers_P;47 mm Vickers P cannon
weapons/cannonAN_M2;20 mm AN/M2 cannon
weapons/cannonRollsRoyceBH;40 mm Rolls-Royce Type BH cannon
weapons/cannonT31;20 mm T31 cannon
weapons/cannonAN_M3;20 mm M3 cannon
weapons/cannonT_160;20 mm FMC T-160 cannon
weapons/cannonM39;20 mm M39 cannon
weapons/cannonM24A1;20 mm M24A1 cannon
weapons/cannonGLAT_M621;20 mm GYATTTT M.621 cannon
weapons/cannonGLAT_M791;30 mm NEXTER 30M791 cannon
weapons/gunHo103;12.7 mm Ho-103 machine gun
weapons/gunHo104_turret;12.7 mm Ho-104 machine gun
weapons/gunHo103_turret;12.7 mm Ho-104 machine gun
weapons/cannonM4;37 mm M4 cannon
weapons/cannonM9;37 mm M9 cannon
weapons/gunMG131;13 mm MG 131 machine gun
weapons/gunMG131_turret;13 mm MG 131 machine gun
weapons/cannonMG15115;15 mm MG 151 cannon
weapons/cannonMG15115_underwing;15 mm MG 151 cannon (secondary)
weapons/cannonMG15120;20 mm MG 151 cannon
weapons/cannonMG15120_underwing;20 mm MG 151 cannon (secondary)
weapons/gunMG15;7.92 mm MG 15 machine gun
weapons/gunMG17_turret;7.92 mm MG 17 machine gun
weapons/gunMG15_turret;7.92 mm MG 15 machine gun
weapons/gunType98_turret;7.92 mm Type 98 machine gun
weapons/gun_type1_turret;7.92 mm Type 1 machine gun
weapons/gunType98;7.92 mm Type 98 machine gun
weapons/gunMG17;7.92 mm MG 17 machine gun
weapons/gunMG81;7.92 mm MG 81 machine gun
weapons/gunMG81_turret;7.92 mm MG 81 machine gun
weapons/gunMG81_underwing;7.92 mm MG 81 machine gun (secondary)
weapons/cannonMGFF;20 mm MG FF cannon
weapons/cannonMGFF_turret;20 mm MG FF/M cannon
weapons/cannonMGFFM;20 mm MG FF/M cannon
weapons/cannonMK103;Plap Kanone
weapons/cannonMK101;30 mm MK 101 cannon
weapons/cannonMK101/short;MK 101
weapons/cannonMK108;poopenschitenfarten hypervelocitie kanonen fia unf 30mm
weapons/cannonMK103_underwing;Plap Kanone (secondary)
weapons/cannonMK103_underwing_go229;Plap Kanone
weapons/cannonMK108_underwing;poopenschitenfarten hypervelocitie kanonen fia unf 30mm (secondary)
weapons/cannonNR23;23 mm Hit-23 cannon
weapons/cannonNR23_turret;23 mm Hit-23 cannon
weapons/cannonType_23_1_plane_turret;23 mm Type 23-1 cannon
weapons/cannonNS23;23 mm NS-23 cannon
weapons/cannonNS23k;23 mm NS-23K cannon
weapons/cannonNS37;37 mm NS-37 cannon
weapons/cannonNS37_su_6;37 mm NS-37 cannon
weapons/cannonNS37_assault;37 mm NS-37 cannon
weapons/cannonSH37;37 mm SH-37 cannon
weapons/cannonSH37/short;SH-37
weapons/cannonNS45;45 mm NS-45 cannon
weapons/cannonNS45_heavy_aircrafts;45 mm NS-45 cannon
weapons/cannonNS45_heavy_aircrafts/short;NS-45
weapons/cannonN37D;Toilet paper thrower
weapons/cannonType37_1;37 mm Type 37-1 cannon
weapons/cannonN37;37 mm N-37 cannon
weapons/cannonB20;20 mm B-20 cannon
weapons/cannonB20S;20 mm B-20S cannon
weapons/cannonB20M;20 mm B-20M cannon
weapons/cannonB20_turret;20 mm BT-20 cannon
weapons/cannonBT20_turret;20 mm BT-20 cannon
weapons/gunShKAS;Squirt gun with acid
weapons/gunShKAS_turret;Squirt gun with acid
weapons/cannonShVAK;Shank cannon
weapons/cannonShVAKS;Shank cannon
weapons/cannonShVAK_turret;Shank cannon
weapons/cannonShVAK_early;Shank cannon
weapons/gunUB;12.7 mm Berezin UB machine gun
weapons/gunUBK;12.7 mm Berezin UBK machine gun
weapons/gunUBK_turret;12.7 mm Berezin UBK machine gun
weapons/gunUB_turret;12.7 mm Berezin UB machine gun
weapons/gunTe-1_turret;7.7 mm Te-1 machine gun
weapons/gunVikkersK;7.7 mm Vickers K machine gun
weapons/gunVikkersK_turret;7.7 mm Vickers K machine gun
weapons/gunVikkersE;7.7 mm Vickers E machine gun
weapons/cannonVYa;23 mm VYa-23 cannon
weapons/gunUBS;12.7 mm Berezin UB machine gun
weapons/gunType89;death by a thousand cuts
weapons/gunType89_turret;death by a thousand cuts
weapons/gunType89s_turret;death by a thousand cuts
weapons/gunType92;7.7 mm Type 92 machine gun
weapons/gunType92_turret;7.7 mm Type 92 machine gun
weapons/cannonType99Mk2;20 mm Type 99 Model 2 cannon
weapons/gunMAC39;7.5 mm MAC 1934 machine gun
weapons/gunMAC39_turret;7.5 mm MAC 1934 machine gun
weapons/cannonM10;37 mm M10 cannon
weapons/cannonmk103;Plap Kanone
weapons/cannonmk108;30 mm MK 108 cannon
weapons/cannonBK5;50 mm BK 5 cannon
weapons/gunPV1;7.62 mm PV-1 machine gun
weapons/gunBrowningFN_french;7.5 mm FN Browning machine gun
weapons/gunFNBrowning_romania;7.92 mm FN Browning machine gun
weapons/gunFNBrowning303;7.92 mm FN Browning machine gun
weapons/gunLewis;7.7 mm Lewis machine gun
weapons/gunLewis_turret;7.7 mm Lewis machine gun
weapons/cannon_for_pony;Friend Mk.III cannon
weapons/pony_rocket;Cracker-4 rocket
weapons/de_sc50;50 kg SC50JA bomb
weapons/de_sc50_default;50 kg SC50JA bomb
weapons/de_sc50_default/short;SC50
weapons/de_sc250;250 kg SC250JA bomb
weapons/de_sc500;500 kg SC500K bomb
weapons/de_sc250_87;250 kg SC250JA bomb
weapons/de_fx1400;PC 1400 X (Fritz X)
weapons/de_hs_293a1;Poopenshitten Überfarten Wunderwaffen Kreuzrakete
weapons/de_hs_293a1/short;Poopenshitten Überfarten Wunderwaffen Kreuzrakete
weapons/de_sc500_87;500 kg SC500K bomb
weapons/de_sc1800b;1800 kg SC1800B bomb
weapons/de_sc1000;1000 kg SC1000L2 bomb
weapons/de_sd10a;10 kg SD10C bomb
weapons/de_sd50;50 kg SD50 bomb
weapons/de_sd50/short;SD50
weapons/de_sd70;70 kg SD70 bomb
weapons/de_sd70/short;SD70
weapons/de_pc500_ap;500 kg PC500 armor-piercing bomb
weapons/de_pc500_ap/short;PC500
weapons/de_pd500_ap;500 kg PD500 armor-piercing bomb
weapons/de_pd500_ap/short;PD500
weapons/de_pc500_rs_ap;500 kg PC500 RS armor-piercing rocket bomb
weapons/de_pc500_rs_ap/short;PC500 RS
weapons/de_pc1000_ap;1000 kg PC1000 armor-piercing bomb
weapons/de_pc1000_ap/short;PC1000
weapons/de_pc1000_rs_ap;1000 kg PC1000 RS armor-piercing rocket bomb
weapons/de_pc1000_rs_ap/short;PC1000 RS
weapons/de_pc1600_ap;1600 kg PC1600 armor-piercing bomb
weapons/de_pc1600_ap/short;PC1600
weapons/de_pc1800_rs_ap;1800 kg PC1800 RS armor-piercing rocket bomb
weapons/de_pc1800_rs_ap/short;PC1800 RS
weapons/de_250_matra_25e;250 kg Matra 25E bomb
weapons/de_250_matra_25e/short;250 kg Matra 25E
weapons/de_sc2500;2500 kg SC2500 bomb
weapons/de_sc2500/short;SC2500
weapons/de_sb2500;2500 kg SB2500 bomb
weapons/de_sb2500/short;SB2500
weapons/fr_50kg_type_61c;50 kg Type 61C
weapons/fr_50kg_type_61c/short;Type 61C
